,vdc (V),Vpp1 (V),Vpp2 (V)
0,-0.5,0.0538512804,0.0022400001
1,-0.368421052631579,0.0545202382,0.0022400001
2,-0.2368421052631579,0.0555236787,0.0039999997
3,-0.10526315789473684,0.0528478399,0.00248
4,0.02631578947368418,0.0548547208,0.0026400001
5,0.1578947368421052,0.0518443994,0.0030399999
6,0.2894736842105263,0.0531823188,0.0031999999
7,0.42105263157894735,0.0538512804,0.0107199997
8,0.5526315789473684,0.050840959,0.0230432414
9,0.6842105263157894,0.0458237603,0.03432744
10,0.8157894736842104,0.0451547988,0.037284717
11,0.9473684210526314,0.044151362,0.0380870402
12,1.0789473684210527,0.0434824005,0.0393702388
13,1.2105263157894737,0.0461582392,0.0411767997
14,1.3421052631578947,0.0464927219,0.0415833592
15,1.4736842105263157,0.0471616797,0.041959323
16,1.6052631578947367,0.0438168794,0.0408407971
17,1.736842105263158,0.0431479178,0.0407174006
18,1.8684210526315788,0.0464927182,0.0425952002
19,2.0,0.0448203199,0.0424841978
