,vdc (V),Vpp1 (V),Vpp2 (V)
0,-0.5,0.0512604788,0.0491635203
1,-0.47474747474747475,0.0512604788,0.0490314029
2,-0.4494949494949495,0.0536211617,0.0506864823
3,-0.42424242424242425,0.0536211617,0.0517843217
4,-0.398989898989899,0.0526094399,0.0525639988
5,-0.3737373737373737,0.0529466793,0.0527452826
6,-0.3484848484848485,0.0526094399,0.0522719994
7,-0.3232323232323232,0.0515977181,0.0524294414
8,-0.297979797979798,0.0529466793,0.0522766374
9,-0.2727272727272727,0.0529466793,0.0527481586
10,-0.24747474747474746,0.0522722006,0.0529056005
11,-0.2222222222222222,0.0526094399,0.0517977625
12,-0.19696969696969696,0.0539584011,0.0516318008
13,-0.1717171717171717,0.0556446016,0.052104082
14,-0.14646464646464646,0.053621158,0.0522480011
15,-0.12121212121212122,0.0539584011,0.0521069989
16,-0.09595959595959597,0.0526094399,0.0522509627
17,-0.07070707070707072,0.0515977181,0.05273192
18,-0.04545454545454547,0.0529466793,0.0528922416
19,-0.02020202020202022,0.0536211617,0.0498895198
20,0.005050505050505083,0.0519349612,0.0482098423
21,0.030303030303030276,0.0515977181,0.0501227975
22,0.05555555555555558,0.0546328798,0.0527219996
23,0.08080808080808077,0.0532839186,0.0520038046
24,0.10606060606060608,0.0522722006,0.0528054014
25,0.13131313131313127,0.0532839186,0.0526310429
26,0.15656565656565657,0.0529466793,0.0512211211
27,0.18181818181818177,0.0519349612,0.0507451631
28,0.20707070707070707,0.0542956404,0.0484288
29,0.23232323232323226,0.0532839186,0.0444726013
30,0.25757575757575757,0.0509232394,0.0410404801
31,0.28282828282828276,0.0515977219,0.0376040004
32,0.30808080808080807,0.0546328798,0.0348983631
33,0.33333333333333337,0.0539584011,0.0301963203
34,0.35858585858585856,0.0522722006,0.0253380015
35,0.38383838383838387,0.0539584011,0.0216594413
36,0.40909090909090906,0.0542956404,0.018379841
37,0.43434343434343436,0.0526094399,0.0149912806
38,0.45959595959595956,0.0515977181,0.0128713604
39,0.48484848484848486,0.0512604788,0.0113599999
40,0.5101010101010102,0.0512604788,0.0100799995
41,0.5353535353535352,0.0512604788,0.0091200005
42,0.5606060606060606,0.0512604788,0.00856
43,0.5858585858585859,0.0526094399,0.0080000004
44,0.6111111111111112,0.0532839224,0.0074399998
45,0.6363636363636362,0.0512604788,0.0066399998
46,0.6616161616161615,0.0542956404,0.0073600002
47,0.6868686868686869,0.0553073622,0.00752
48,0.7121212121212122,0.0566563196,0.0071999999
49,0.7373737373737375,0.0546328798,0.0068800002
50,0.7626262626262625,0.0549701229,0.0065600001
51,0.7878787878787878,0.0559818409,0.0063200002
52,0.8131313131313131,0.0546328798,0.0065600001
53,0.8383838383838385,0.0515977181,0.0055200001
54,0.8636363636363635,0.0515977181,0.0045600003
55,0.8888888888888888,0.0529466793,0.0047200001
56,0.9141414141414141,0.0529466793,0.0044800001
57,0.9393939393939394,0.0522722006,0.0044800001
58,0.9646464646464645,0.0515977219,0.0046399999
59,0.9898989898989898,0.0515977219,0.00496
60,1.0151515151515151,0.0566563196,0.0055200001
61,1.0404040404040404,0.0526094399,0.0047200001
62,1.0656565656565655,0.0529466793,0.0044800001
63,1.0909090909090908,0.0529466793,0.0040799999
64,1.1161616161616161,0.0512604788,0.0036799998
65,1.1414141414141414,0.0515977181,0.0040000002
66,1.1666666666666667,0.0519349612,0.0038399999
67,1.1919191919191918,0.0519349612,0.00392
68,1.2171717171717171,0.0515977181,0.00352
69,1.2424242424242424,0.0515977181,0.0035999999
70,1.2676767676767677,0.0515977181,0.0042400002
71,1.2929292929292928,0.0532839224,0.0035999999
72,1.3181818181818181,0.0522722006,0.0042400002
73,1.3434343434343434,0.0546328798,0.0045599998
74,1.3686868686868687,0.0549701229,0.0045599998
75,1.3939393939393938,0.0529466793,0.00416
76,1.4191919191919191,0.0512604788,0.0036799998
77,1.4444444444444444,0.0515977181,0.0034399999
78,1.4696969696969697,0.0529466793,0.00352
79,1.4949494949494948,0.0512604788,0.00352
80,1.5202020202020203,0.0519349612,0.0038400001
81,1.5454545454545454,0.0515977181,0.00336
82,1.5707070707070705,0.0532839186,0.0035999999
83,1.595959595959596,0.0546328798,0.00392
84,1.621212121212121,0.0526094399,0.00352
85,1.6464646464646466,0.0515977181,0.0032800001
86,1.6717171717171717,0.0519349612,0.0040000002
87,1.6969696969696968,0.0549701191,0.0035999999
88,1.7222222222222223,0.0546328798,0.0042400002
89,1.7474747474747474,0.0549701191,0.00376
90,1.7727272727272725,0.0526094399,0.0035999999
91,1.797979797979798,0.0526094399,0.0038399999
92,1.823232323232323,0.0526094399,0.00336
93,1.8484848484848486,0.0522722006,0.0031999999
94,1.8737373737373737,0.0519349612,0.0030400001
95,1.8989898989898988,0.0515977181,0.00312
96,1.9242424242424243,0.0522722006,0.0035999999
97,1.9494949494949494,0.053621158,0.00352
98,1.974747474747475,0.0556445979,0.0036800001
99,2.0,0.0546328798,0.0036800001
