,vdc (V),Vpp1 (V),Vpp2 (V)
0,-0.5,0.0547604002,0.0047200001
1,-0.47474747474747475,0.0547604002,0.0046399999
2,-0.4494949494949495,0.0563709997,0.00544
3,-0.42424242424242425,0.0537940413,0.0047999998
4,-0.398989898989899,0.0534719229,0.0048799999
5,-0.3737373737373737,0.0537940413,0.0046399999
6,-0.3484848484848485,0.0541161634,0.0045599998
7,-0.3232323232323232,0.0541161634,0.0045599998
8,-0.297979797979798,0.0541161597,0.0047200001
9,-0.2727272727272727,0.0554046407,0.0046399999
10,-0.24747474747474746,0.0554046407,0.0045599998
11,-0.2222222222222222,0.0547604002,0.0045599998
12,-0.19696969696969696,0.0518613197,0.0050400002
13,-0.1717171717171717,0.0521834418,0.0048000002
14,-0.14646464646464646,0.0521834418,0.0044
15,-0.12121212121212122,0.0518613197,0.0050400002
16,-0.09595959595959597,0.0518613197,0.0047200001
17,-0.07070707070707072,0.0521834418,0.0047200001
18,-0.04545454545454547,0.0534719229,0.0046399999
19,-0.02020202020202022,0.0550825223,0.0042399997
20,0.005050505050505083,0.0518613197,0.0044
21,0.030303030303030276,0.0537940413,0.0052
22,0.05555555555555558,0.0557267591,0.0047999998
23,0.08080808080808077,0.0521834418,0.0045600003
24,0.10606060606060608,0.0525055602,0.00496
25,0.13131313131313127,0.0560488813,0.0048000002
26,0.15656565656565657,0.0544382818,0.0044799997
27,0.18181818181818177,0.0541161597,0.0046399999
28,0.20707070707070707,0.0531498007,0.0061599999
29,0.23232323232323226,0.0534719229,0.0079199998
30,0.25757575757575757,0.0544382818,0.0108000003
31,0.28282828282828276,0.0550825223,0.0140800001
32,0.30808080808080807,0.0566931218,0.0189845618
33,0.33333333333333337,0.0534719229,0.0245548803
34,0.35858585858585856,0.0573373623,0.0284676794
35,0.38383838383838387,0.0544382818,0.0318849608
36,0.40909090909090906,0.0541161597,0.0351167992
37,0.43434343434343436,0.0554046407,0.0384580009
38,0.45959595959595956,0.0528276823,0.038385842
39,0.48484848484848486,0.0512170829,0.0394520797
40,0.5101010101010102,0.0528276786,0.041519925
41,0.5353535353535352,0.0557267629,0.0444604792
42,0.5606060606060606,0.0541161597,0.044643037
43,0.5858585858585859,0.0521834418,0.043988999
44,0.6111111111111112,0.0534719229,0.0452054404
45,0.6363636363636362,0.0544382818,0.0472849198
46,0.6616161616161615,0.0528276786,0.0454792827
47,0.6868686868686869,0.0518613234,0.0456204414
48,0.7121212121212122,0.0515392013,0.0457511991
49,0.7373737373737375,0.0560488813,0.0489914417
50,0.7626262626262625,0.0547604002,0.0486124791
51,0.7878787878787878,0.0544382818,0.04875312
52,0.8131313131313131,0.0541161597,0.0483325608
53,0.8383838383838385,0.0537940413,0.04875312
54,0.8636363636363635,0.0518613234,0.0477444008
55,0.8888888888888888,0.0521834418,0.0475992002
56,0.9141414141414141,0.0541161597,0.0492115617
57,0.9393939393939394,0.0512170829,0.0487573221
58,0.9646464646464645,0.0518613197,0.0486156009
59,0.9898989898989898,0.0521834418,0.0487575196
60,1.0151515151515151,0.0537940413,0.0495054796
61,1.0404040404040404,0.0534719191,0.0496591218
62,1.0656565656565655,0.0534719229,0.0489195623
63,1.0909090909090908,0.0528276823,0.0493617617
64,1.1161616161616161,0.0528276823,0.0498127602
65,1.1414141414141414,0.0528276823,0.0493680015
66,1.1666666666666667,0.0521834418,0.0495214425
67,1.1919191919191918,0.0537940413,0.0502736829
68,1.2171717171717171,0.0554046407,0.0513422042
69,1.2424242424242424,0.0534719229,0.04905992
70,1.2676767676767677,0.0525055602,0.0492129587
71,1.2929292929292928,0.0534719191,0.0514486395
72,1.3181818181818181,0.0541161634,0.0501062013
73,1.3434343434343434,0.0515392013,0.0490238816
74,1.3686868686868687,0.0515392013,0.0488667227
75,1.3939393939393938,0.0521834418,0.0493180826
76,1.4191919191919191,0.0521834418,0.0494670011
77,1.4444444444444444,0.0512170829,0.049317278
78,1.4696969696969697,0.0515392013,0.0494689569
79,1.4949494949494948,0.0518613197,0.0499281622
80,1.5202020202020203,0.0531498007,0.0509913601
81,1.5454545454545454,0.0563710034,0.0517680794
82,1.5707070707070705,0.0525055602,0.0500839204
83,1.595959595959596,0.0541161597,0.0517480001
84,1.621212121212121,0.0547604002,0.0515990779
85,1.6464646464646466,0.0515392013,0.0496073216
86,1.6717171717171717,0.0518613197,0.0497442
87,1.6969696969696968,0.0525055602,0.0505008027
88,1.7222222222222223,0.0537940413,0.0518677197
89,1.7474747474747474,0.0541161597,0.0514338017
90,1.7727272727272725,0.0550825223,0.0518851243
91,1.797979797979798,0.0531498007,0.0504974015
92,1.823232323232323,0.0534719229,0.0515692793
93,1.8484848484848486,0.0557267629,0.0520505607
94,1.8737373737373737,0.0563710034,0.0528223999
95,1.8989898989898988,0.0547604002,0.052673921
96,1.9242424242424243,0.0525055602,0.0506431982
97,1.9494949494949494,0.0528276823,0.0513827614
98,1.974747474747475,0.0528276823,0.0509354398
99,2.0,0.0525055602,0.0510819629
