,time (s),Channel 1 (V),Channel 2 (V)
153,-0.02214,-1.2,0.88
154,-0.02212,-1.2,0.88
155,-0.0221,-1.2,0.88
156,-0.02208,-1.2,0.88
157,-0.02206,-1.22,0.88
158,-0.02204,-1.22,0.88
159,-0.02202,-1.22,0.86
160,-0.022,-1.22,0.86
161,-0.02198,-1.24,0.86
162,-0.02196,-1.24,0.86
163,-0.02194,-1.24,0.86
164,-0.02192,-1.24,0.86
165,-0.0219,-1.26,0.86
166,-0.02188,-1.26,0.86
167,-0.02186,-1.26,0.86
168,-0.02184,-1.26,0.86
169,-0.02182,-1.28,0.86
170,-0.0218,-1.28,0.86
171,-0.02178,-1.28,0.86
172,-0.02176,-1.28,0.86
173,-0.02174,-1.28,0.86
174,-0.02172,-1.28,0.86
175,-0.0217,-1.3,0.86
176,-0.02168,-1.3,0.86
177,-0.02166,-1.3,0.86
178,-0.02164,-1.3,0.86
179,-0.02162,-1.3,0.86
180,-0.0216,-1.3,0.86
181,-0.02158,-1.3,0.86
182,-0.02156,-1.32,0.86
183,-0.02154,-1.32,0.86
184,-0.02152,-1.32,0.86
185,-0.0215,-1.32,0.86
186,-0.02148,-1.32,0.84
187,-0.02146,-1.32,0.84
188,-0.02144,-1.34,0.84
189,-0.02142,-1.34,0.84
190,-0.0214,-1.34,0.84
191,-0.02138,-1.34,0.84
192,-0.02136,-1.34,0.84
193,-0.02134,-1.34,0.84
194,-0.02132,-1.34,0.84
195,-0.0213,-1.34,0.84
196,-0.02128,-1.34,0.84
197,-0.02126,-1.34,0.84
198,-0.021240000000000002,-1.36,0.84
199,-0.02122,-1.36,0.84
200,-0.0212,-1.36,0.84
201,-0.02118,-1.36,0.84
202,-0.021159999999999998,-1.36,0.84
203,-0.02114,-1.36,0.84
204,-0.02112,-1.36,0.84
205,-0.0211,-1.36,0.84
206,-0.02108,-1.36,0.84
207,-0.02106,-1.36,0.84
208,-0.02104,-1.36,0.84
209,-0.02102,-1.36,0.84
210,-0.020999999999999998,-1.36,0.84
211,-0.02098,-1.36,0.84
212,-0.02096,-1.36,0.84
213,-0.02094,-1.36,0.84
214,-0.02092,-1.36,0.84
215,-0.020900000000000002,-1.3800000000000001,0.8200000000000001
216,-0.02088,-1.3800000000000001,0.8200000000000001
217,-0.02086,-1.36,0.8200000000000001
218,-0.02084,-1.36,0.84
219,-0.020819999999999998,-1.3800000000000001,0.8200000000000001
220,-0.0208,-1.3800000000000001,0.8200000000000001
221,-0.02078,-1.3800000000000001,0.8200000000000001
222,-0.02076,-1.3800000000000001,0.8200000000000001
223,-0.02074,-1.36,0.8200000000000001
224,-0.02072,-1.3800000000000001,0.8200000000000001
225,-0.0207,-1.3800000000000001,0.8200000000000001
