,time (s),Channel 1 (V),Channel 2 (V)
0,-5.1e-05,-3.04,-3.12
1,-5.096e-05,-3.04,-3.12
2,-5.092e-05,-3.04,-3.08
3,-5.088e-05,-3.04,-3.08
4,-5.084e-05,-3.04,-3.08
5,-5.08e-05,-3.04,-3.04
6,-5.076e-05,-3.04,-3.04
7,-5.072e-05,-3.04,-3.04
8,-5.068e-05,-3.04,-3.0
9,-5.0639999999999996e-05,-3.04,-3.0
10,-5.06e-05,-3.04,-3.0
11,-5.056e-05,-3.04,-2.96
12,-5.052e-05,-3.04,-2.96
13,-5.048e-05,-3.04,-2.96
14,-5.044e-05,-3.04,-2.92
15,-5.04e-05,-3.04,-2.92
16,-5.036e-05,-3.04,-2.92
17,-5.032e-05,-3.04,-2.88
18,-5.028e-05,-3.04,-2.88
19,-5.024e-05,-3.04,-2.88
20,-5.02e-05,-3.04,-2.88
21,-5.016e-05,-3.04,-2.84
22,-5.012e-05,-3.04,-2.84
23,-5.008e-05,-3.04,-2.84
24,-5.004e-05,-3.04,-2.8000000000000003
25,-5e-05,-3.04,-2.8000000000000003
26,-4.996e-05,-3.04,-2.8000000000000003
27,-4.9919999999999996e-05,-3.04,-2.8000000000000003
28,-4.988e-05,-3.04,-2.7600000000000002
29,-4.984e-05,-3.04,-2.7600000000000002
30,-4.98e-05,-3.04,-2.7600000000000002
31,-4.976e-05,-3.04,-2.72
32,-4.972e-05,-3.04,-2.72
33,-4.968e-05,-3.04,-2.72
34,-4.964e-05,-3.04,-2.72
35,-4.96e-05,-3.04,-2.68
36,-4.956e-05,-3.04,-2.68
37,-4.952e-05,-3.04,-2.68
38,-4.948e-05,-3.04,-2.64
39,-4.944e-05,-3.04,-2.64
40,-4.94e-05,-3.04,-2.64
41,-4.936e-05,-3.04,-2.64
42,-4.932e-05,-3.04,-2.6
43,-4.928e-05,-3.04,-2.6
44,-4.9239999999999996e-05,-3.04,-2.6
45,-4.9199999999999997e-05,-3.04,-2.6
46,-4.916e-05,-3.04,-2.56
47,-4.912e-05,-3.04,-2.56
48,-4.908e-05,-3.04,-2.56
49,-4.904e-05,-3.04,-2.56
50,-4.9e-05,-3.04,-2.52
51,-4.896e-05,-3.04,-2.52
52,-4.892e-05,-3.04,-2.52
53,-4.888e-05,-3.04,-2.52
54,-4.884e-05,-3.04,-2.48
55,-4.88e-05,-3.04,-2.48
