,time (s),Channel 1 (V),Channel 2 (V)
153,-0.02214,-1.2,0.68
154,-0.02212,-1.2,0.68
155,-0.0221,-1.2,0.68
156,-0.02208,-1.22,0.68
157,-0.02206,-1.22,0.68
158,-0.02204,-1.22,0.68
159,-0.02202,-1.22,0.68
160,-0.022,-1.24,0.68
161,-0.02198,-1.24,0.68
162,-0.02196,-1.24,0.68
163,-0.02194,-1.24,0.68
164,-0.02192,-1.26,0.68
165,-0.0219,-1.26,0.68
166,-0.02188,-1.26,0.68
167,-0.02186,-1.26,0.68
168,-0.02184,-1.28,0.68
169,-0.02182,-1.28,0.68
170,-0.0218,-1.28,0.66
171,-0.02178,-1.28,0.66
172,-0.02176,-1.28,0.66
173,-0.02174,-1.28,0.66
174,-0.02172,-1.3,0.66
175,-0.0217,-1.3,0.66
176,-0.02168,-1.3,0.66
177,-0.02166,-1.3,0.66
178,-0.02164,-1.3,0.66
179,-0.02162,-1.3,0.66
180,-0.0216,-1.32,0.66
181,-0.02158,-1.32,0.66
182,-0.02156,-1.32,0.66
183,-0.02154,-1.32,0.66
184,-0.02152,-1.32,0.66
185,-0.0215,-1.32,0.66
186,-0.02148,-1.34,0.66
187,-0.02146,-1.34,0.64
188,-0.02144,-1.34,0.64
189,-0.02142,-1.34,0.64
190,-0.0214,-1.34,0.64
191,-0.02138,-1.34,0.64
192,-0.02136,-1.34,0.64
193,-0.02134,-1.34,0.64
194,-0.02132,-1.34,0.64
195,-0.0213,-1.36,0.64
196,-0.02128,-1.36,0.64
197,-0.02126,-1.36,0.64
198,-0.021240000000000002,-1.36,0.64
199,-0.02122,-1.36,0.64
200,-0.0212,-1.36,0.64
201,-0.02118,-1.36,0.64
202,-0.021159999999999998,-1.36,0.64
203,-0.02114,-1.36,0.62
204,-0.02112,-1.36,0.62
205,-0.0211,-1.36,0.62
206,-0.02108,-1.36,0.62
207,-0.02106,-1.36,0.62
208,-0.02104,-1.36,0.62
209,-0.02102,-1.3800000000000001,0.62
210,-0.020999999999999998,-1.3800000000000001,0.62
211,-0.02098,-1.3800000000000001,0.62
212,-0.02096,-1.3800000000000001,0.62
213,-0.02094,-1.3800000000000001,0.62
214,-0.02092,-1.3800000000000001,0.62
215,-0.020900000000000002,-1.3800000000000001,0.62
216,-0.02088,-1.3800000000000001,0.62
217,-0.02086,-1.3800000000000001,0.62
218,-0.02084,-1.3800000000000001,0.62
219,-0.020819999999999998,-1.3800000000000001,0.62
220,-0.0208,-1.3800000000000001,0.62
221,-0.02078,-1.3800000000000001,0.62
222,-0.02076,-1.3800000000000001,0.62
223,-0.02074,-1.3800000000000001,0.62
224,-0.02072,-1.3800000000000001,0.62
225,-0.0207,-1.3800000000000001,0.62
226,-0.02068,-1.3800000000000001,0.62
227,-0.020659999999999998,-1.3800000000000001,0.6
228,-0.02064,-1.3800000000000001,0.6
229,-0.02062,-1.3800000000000001,0.6
230,-0.0206,-1.36,0.6
231,-0.02058,-1.36,0.6
232,-0.020560000000000002,-1.36,0.6
233,-0.02054,-1.36,0.6
234,-0.02052,-1.36,0.6
235,-0.0205,-1.36,0.6
236,-0.020479999999999998,-1.36,0.6
237,-0.02046,-1.36,0.6
238,-0.02044,-1.36,0.6
239,-0.02042,-1.36,0.6
240,-0.0204,-1.36,0.6
241,-0.02038,-1.36,0.6
242,-0.02036,-1.34,0.6
243,-0.02034,-1.34,0.58
244,-0.020319999999999998,-1.34,0.58
245,-0.0203,-1.34,0.58
246,-0.02028,-1.34,0.58
247,-0.02026,-1.34,0.58
248,-0.02024,-1.34,0.58
249,-0.020220000000000002,-1.34,0.58
250,-0.0202,-1.34,0.58
251,-0.02018,-1.32,0.58
252,-0.02016,-1.32,0.58
253,-0.020139999999999998,-1.32,0.58
254,-0.02012,-1.32,0.58
255,-0.0201,-1.32,0.58
256,-0.02008,-1.32,0.58
257,-0.02006,-1.3,0.58
258,-0.02004,-1.3,0.58
259,-0.02002,-1.3,0.58
260,-0.02,-1.3,0.58
261,-0.019979999999999998,-1.3,0.58
262,-0.01996,-1.3,0.58
263,-0.01994,-1.3,0.58
264,-0.01992,-1.28,0.56
265,-0.0199,-1.28,0.56
266,-0.019880000000000002,-1.28,0.56
267,-0.01986,-1.28,0.56
268,-0.01984,-1.28,0.56
269,-0.01982,-1.26,0.56
270,-0.019799999999999998,-1.26,0.56
271,-0.01978,-1.26,0.56
272,-0.01976,-1.26,0.56
273,-0.01974,-1.24,0.56
274,-0.01972,-1.24,0.56
275,-0.0197,-1.24,0.56
276,-0.01968,-1.24,0.56
277,-0.01966,-1.24,0.56
278,-0.019639999999999998,-1.22,0.56
279,-0.01962,-1.22,0.56
280,-0.0196,-1.22,0.56
281,-0.01958,-1.22,0.56
282,-0.01956,-1.2,0.56
283,-0.019540000000000002,-1.2,0.56
284,-0.01952,-1.2,0.56
285,-0.0195,-1.2,0.56
286,-0.01948,-1.18,0.56
287,-0.019459999999999998,-1.18,0.56
288,-0.01944,-1.18,0.56
289,-0.01942,-1.16,0.56
