,time (s),Channel 1 (V),Channel 2 (V)
185,-0.0215,-1.32,0.0
186,-0.02148,-1.34,0.0
187,-0.02146,-1.34,0.0
188,-0.02144,-1.34,0.0
189,-0.02142,-1.34,0.0
190,-0.0214,-1.34,0.0
191,-0.02138,-1.34,0.0
192,-0.02136,-1.34,0.0
193,-0.02134,-1.34,0.0
194,-0.02132,-1.36,0.0
195,-0.0213,-1.36,0.0
196,-0.02128,-1.36,0.0
197,-0.02126,-1.36,0.0
198,-0.021240000000000002,-1.36,0.0
199,-0.02122,-1.36,0.0
200,-0.0212,-1.36,0.0
201,-0.02118,-1.36,0.0
202,-0.021159999999999998,-1.36,0.0
203,-0.02114,-1.36,0.0
204,-0.02112,-1.36,0.0
205,-0.0211,-1.3800000000000001,0.0
206,-0.02108,-1.36,0.0
207,-0.02106,-1.3800000000000001,0.0
208,-0.02104,-1.3800000000000001,0.0
209,-0.02102,-1.3800000000000001,0.0
210,-0.020999999999999998,-1.3800000000000001,0.0
211,-0.02098,-1.3800000000000001,0.0
212,-0.02096,-1.3800000000000001,0.0
213,-0.02094,-1.3800000000000001,0.0
214,-0.02092,-1.3800000000000001,0.0
215,-0.020900000000000002,-1.3800000000000001,0.0
216,-0.02088,-1.3800000000000001,0.0
217,-0.02086,-1.3800000000000001,0.0
218,-0.02084,-1.3800000000000001,0.0
219,-0.020819999999999998,-1.3800000000000001,0.0
220,-0.0208,-1.3800000000000001,0.0
221,-0.02078,-1.3800000000000001,0.0
222,-0.02076,-1.3800000000000001,0.0
223,-0.02074,-1.3800000000000001,0.0
224,-0.02072,-1.3800000000000001,0.0
225,-0.0207,-1.3800000000000001,0.0
226,-0.02068,-1.3800000000000001,0.0
227,-0.020659999999999998,-1.3800000000000001,0.0
228,-0.02064,-1.3800000000000001,0.0
229,-0.02062,-1.3800000000000001,0.0
230,-0.0206,-1.3800000000000001,0.0
231,-0.02058,-1.3800000000000001,0.0
232,-0.020560000000000002,-1.3800000000000001,0.0
233,-0.02054,-1.36,0.0
234,-0.02052,-1.36,0.0
235,-0.0205,-1.36,0.0
236,-0.020479999999999998,-1.36,0.0
237,-0.02046,-1.36,0.0
238,-0.02044,-1.36,0.0
239,-0.02042,-1.36,0.0
240,-0.0204,-1.36,0.0
241,-0.02038,-1.36,0.0
242,-0.02036,-1.36,0.0
243,-0.02034,-1.34,0.0
244,-0.020319999999999998,-1.34,0.0
245,-0.0203,-1.34,0.0
246,-0.02028,-1.34,0.0
247,-0.02026,-1.34,0.0
248,-0.02024,-1.34,0.0
249,-0.020220000000000002,-1.34,0.0
250,-0.0202,-1.34,0.0
251,-0.02018,-1.34,0.0
252,-0.02016,-1.32,0.0
253,-0.020139999999999998,-1.32,0.0
254,-0.02012,-1.32,0.0
255,-0.0201,-1.32,0.0
256,-0.02008,-1.32,0.0
257,-0.02006,-1.32,0.0
258,-0.02004,-1.32,0.0
259,-0.02002,-1.3,0.0
260,-0.02,-1.3,0.0
261,-0.019979999999999998,-1.3,0.0
262,-0.01996,-1.3,0.0
263,-0.01994,-1.3,0.0
264,-0.01992,-1.28,0.0
265,-0.0199,-1.28,0.0
266,-0.019880000000000002,-1.28,0.0
267,-0.01986,-1.28,0.0
268,-0.01984,-1.28,0.0
269,-0.01982,-1.28,0.0
270,-0.019799999999999998,-1.26,0.0
271,-0.01978,-1.26,0.0
272,-0.01976,-1.26,0.0
273,-0.01974,-1.26,0.0
274,-0.01972,-1.26,0.0
275,-0.0197,-1.24,0.0
276,-0.01968,-1.24,0.0
277,-0.01966,-1.24,0.0
278,-0.019639999999999998,-1.24,0.0
279,-0.01962,-1.22,0.0
280,-0.0196,-1.22,0.0
281,-0.01958,-1.22,0.0
282,-0.01956,-1.2,0.0
283,-0.019540000000000002,-1.2,0.0
284,-0.01952,-1.2,0.0
285,-0.0195,-1.2,0.0
286,-0.01948,-1.2,0.0
287,-0.019459999999999998,-1.18,0.0
288,-0.01944,-1.18,0.0
289,-0.01942,-1.18,0.0
290,-0.0194,-1.16,0.0
291,-0.01938,-1.16,0.0
292,-0.01936,-1.16,0.0
293,-0.01934,-1.1400000000000001,0.0
294,-0.01932,-1.1400000000000001,0.0
295,-0.019299999999999998,-1.1400000000000001,0.0
296,-0.01928,-1.1400000000000001,0.0
297,-0.01926,-1.12,0.0
298,-0.01924,-1.12,0.0
299,-0.01922,-1.12,0.0
300,-0.019200000000000002,-1.1,0.0
301,-0.01918,-1.1,0.0
302,-0.01916,-1.1,0.0
303,-0.01914,-1.08,0.0
304,-0.019119999999999998,-1.08,0.0
305,-0.0191,-1.08,0.0
306,-0.01908,-1.06,0.0
307,-0.01906,-1.06,0.0
308,-0.01904,-1.04,0.0
309,-0.01902,-1.04,0.0
310,-0.019,-1.04,0.0
311,-0.01898,-1.02,0.0
312,-0.018959999999999998,-1.02,0.0
313,-0.01894,-1.02,0.0
314,-0.01892,-1.0,0.0
315,-0.0189,-1.0,0.0
316,-0.01888,-1.0,0.0
317,-0.018860000000000002,-0.98,0.0
318,-0.01884,-0.98,0.0
319,-0.01882,-0.96,0.0
320,-0.0188,-0.96,0.0
321,-0.018779999999999998,-0.96,0.0
322,-0.01876,-0.9400000000000001,0.0
323,-0.01874,-0.9400000000000001,0.0
324,-0.01872,-0.9400000000000001,0.0
325,-0.0187,-0.92,0.0
326,-0.01868,-0.92,0.0
327,-0.01866,-0.9,0.0
328,-0.01864,-0.9,0.0
329,-0.018619999999999998,-0.88,0.0
330,-0.0186,-0.88,0.0
331,-0.01858,-0.88,0.0
332,-0.01856,-0.86,0.0
333,-0.01854,-0.86,0.0
334,-0.018520000000000002,-0.84,0.0
335,-0.0185,-0.84,0.0
336,-0.01848,-0.8200000000000001,0.0
337,-0.01846,-0.8200000000000001,0.0
338,-0.018439999999999998,-0.8,0.0
339,-0.01842,-0.8,0.0
340,-0.0184,-0.8,0.0
341,-0.01838,-0.78,0.0
342,-0.01836,-0.78,0.0
343,-0.01834,-0.76,0.0
344,-0.01832,-0.76,0.0
345,-0.0183,-0.76,0.0
346,-0.018279999999999998,-0.74,0.0
347,-0.01826,-0.72,0.0
348,-0.01824,-0.72,0.0
349,-0.01822,-0.72,0.0
350,-0.0182,-0.7000000000000001,0.0
351,-0.01818,-0.68,0.0
352,-0.01816,-0.68,0.0
353,-0.01814,-0.66,0.0
354,-0.01812,-0.66,0.0
355,-0.018099999999999998,-0.66,0.0
356,-0.01808,-0.64,0.0
357,-0.01806,-0.64,0.0
358,-0.01804,-0.62,0.0
359,-0.01802,-0.62,0.0
360,-0.018,-0.6,0.0
361,-0.01798,-0.6,0.0
362,-0.01796,-0.58,0.0
363,-0.017939999999999998,-0.58,0.0
364,-0.01792,-0.56,0.0
365,-0.0179,-0.56,0.0
366,-0.01788,-0.54,0.0
367,-0.01786,-0.54,0.0
368,-0.01784,-0.52,0.0
369,-0.01782,-0.52,0.0
370,-0.0178,-0.5,0.0
371,-0.01778,-0.5,0.0
372,-0.017759999999999998,-0.48,0.0
373,-0.01774,-0.48,0.0
374,-0.01772,-0.46,0.0
375,-0.0177,-0.46,0.0
376,-0.01768,-0.44,0.0
377,-0.01766,-0.44,0.0
378,-0.01764,-0.42,0.0
379,-0.01762,-0.42,0.0
380,-0.017599999999999998,-0.4,0.0
381,-0.01758,-0.38,0.0
382,-0.01756,-0.38,0.0
