,time (s),Channel 1 (V),Channel 2 (V)
159,-0.01093,0.48,0.08
160,-0.01092,0.36,0.12
161,-0.01091,0.28,0.12
162,-0.0109,0.16,0.12
163,-0.01089,0.04,0.12
164,-0.010879999999999999,-0.04,0.08
165,-0.01087,-0.08,0.08
166,-0.01086,-0.12,0.08
167,-0.01085,-0.08,0.04
168,-0.010839999999999999,-0.04,0.04
169,-0.01083,0.08,0.04
170,-0.01082,0.24,0.08
171,-0.01081,0.32,0.08
172,-0.0108,0.52,0.08
173,-0.01079,0.64,0.12
174,-0.01078,0.76,0.16
175,-0.01077,0.84,0.2
176,-0.01076,0.84,0.24
177,-0.01075,0.88,0.32
178,-0.01074,0.8,0.28
179,-0.01073,0.72,0.36
180,-0.01072,0.6,0.36
181,-0.010709999999999999,0.52,0.36
182,-0.0107,0.4,0.4
183,-0.01069,0.28,0.36
184,-0.01068,0.16,0.36
185,-0.010669999999999999,0.12,0.32
186,-0.01066,0.08,0.32
187,-0.01065,0.12,0.28
188,-0.01064,0.2,0.28
189,-0.01063,0.32,0.28
190,-0.01062,0.4,0.28
191,-0.01061,0.56,0.28
192,-0.0106,0.68,0.32
193,-0.01059,0.8,0.36
194,-0.010579999999999999,0.92,0.36
195,-0.01057,1.0,0.4
196,-0.01056,1.0,0.48
197,-0.01055,1.0,0.48
198,-0.01054,0.92,0.52
199,-0.01053,0.84,0.56
200,-0.01052,0.72,0.6
201,-0.01051,0.6,0.56
202,-0.010499999999999999,0.48,0.56
203,-0.01049,0.36,0.56
204,-0.01048,0.24,0.52
205,-0.01047,0.2,0.48
206,-0.01046,0.16,0.48
207,-0.01045,0.2,0.44
208,-0.01044,0.24,0.44
209,-0.01043,0.32,0.44
210,-0.010419999999999999,0.44,0.44
211,-0.010409999999999999,0.56,0.44
212,-0.0104,0.68,0.44
213,-0.01039,0.84,0.44
214,-0.01038,0.92,0.48
215,-0.01037,0.96,0.52
216,-0.01036,0.96,0.56
217,-0.01035,0.96,0.56
218,-0.01034,0.88,0.6
219,-0.010329999999999999,0.8,0.6
220,-0.01032,0.68,0.64
221,-0.01031,0.52,0.6
222,-0.0103,0.4,0.56
223,-0.01029,0.24,0.56
224,-0.01028,0.16,0.56
225,-0.01027,0.08,0.48
226,-0.01026,0.04,0.48
227,-0.010249999999999999,0.04,0.44
228,-0.010239999999999999,0.12,0.4
229,-0.01023,0.16,0.4
230,-0.01022,0.28,0.36
231,-0.01021,0.4,0.36
232,-0.0102,0.52,0.36
233,-0.01019,0.64,0.4
