	Vpp1 (V)	Vpp2 (V)	fase (Ch1-Ch2) (graus)	frequencia (Hz)	T	T_dB
0	10.1314153671	10.2219266891	1.7999999523	100.0	1.008933729268856	0.07725282011874929
1	10.1314153671	10.1279821396	-1.860465169	215.44346900318845	0.9996611305157669	-0.002943881765780574
2	10.0688762665	10.0964155197	-6.6790356636	464.15888336127773	1.0027350870614655	0.023724235211307
3	9.7561779022	9.3281469345	-15.8083839417	1000.0	0.9561271871022894	-0.3896866527488752
4	8.8180837631	7.4970874786	-31.6415348053	2154.4346900318824	0.8501946318509903	-1.4096328301173464
5	7.6298313141	4.6883010864	-53.1476325989	4641.588833612777	0.6144698215982805	-4.229988834400951
6	7.0669746399	2.4660596848	-70.6306304932	10000.0	0.3489555022423139	-9.144598988765345
7	6.8793559074	1.22153759	-79.2062225342	21544.346900318822	0.17756569167849187	-15.01281885156094
8	6.81681633	0.6050220132	-80.1857147217	46415.888336127726	0.08875433690905972	-21.036208326098567
9	6.8793559074	0.3018112183	-84.5945968628	100000.0	0.04387201685194788	-27.156248001420963
