tempo(s),Vbb(V),Vbe(V),Vce(V)
0.07200000000000001,6.88,0.72,0.24
0.0724,6.88,0.72,0.32
0.0728,6.88,0.8,0.32
0.0732,6.88,0.72,0.24
0.0736,6.88,0.72,0.32
0.07400000000000001,6.88,0.8,0.32
0.07440000000000001,6.88,0.72,0.24
0.0748,6.88,0.72,0.32
0.0752,6.8,0.72,0.32
0.0756,6.8,0.72,0.32
0.076,6.8,0.72,0.24
0.07640000000000001,6.8,0.72,0.32
0.07680000000000001,6.8,0.72,0.24
0.0772,6.8,0.72,0.32
0.0776,6.8,0.72,0.32
0.078,6.8,0.72,0.32
0.0784,6.8,0.72,0.32
0.07880000000000001,6.8,0.72,0.24
0.0792,6.72,0.72,0.32
0.0796,6.72,0.72,0.32
0.08,6.72,0.72,0.32
0.0804,6.72,0.72,0.24
0.08080000000000001,6.72,0.72,0.32
0.08120000000000001,6.72,0.72,0.32
0.0816,6.72,0.72,0.32
0.08199999999999999,6.72,0.8,0.32
0.0824,6.72,0.72,0.24
0.0828,6.6400000000000015,0.72,0.24
0.08320000000000001,6.72,0.72,0.32
0.08360000000000001,6.6400000000000015,0.72,0.32
0.084,6.6400000000000015,0.72,0.32
0.0844,6.6400000000000015,0.72,0.24
0.0848,6.6400000000000015,0.72,0.32
0.0852,6.6400000000000015,0.72,0.32
0.08560000000000001,6.6400000000000015,0.72,0.32
0.08600000000000001,6.6400000000000015,0.8,0.32
0.0864,6.6400000000000015,0.72,0.32
0.0868,6.6400000000000015,0.72,0.32
0.0872,6.6400000000000015,0.72,0.32
0.0876,6.6400000000000015,0.72,0.32
0.08800000000000001,6.6400000000000015,0.72,0.32
0.0884,6.6400000000000015,0.72,0.32
0.0888,6.6400000000000015,0.72,0.32
0.0892,6.5600000000000005,0.72,0.32
0.0896,6.5600000000000005,0.72,0.32
0.09000000000000001,6.5600000000000005,0.72,0.32
0.0904,6.5600000000000005,0.72,0.24
0.0908,6.5600000000000005,0.8,0.32
0.0912,6.5600000000000005,0.72,0.32
0.0916,6.5600000000000005,0.72,0.24
0.092,6.5600000000000005,0.72,0.32
0.0924,6.5600000000000005,0.72,0.32
0.0928,6.5600000000000005,0.72,0.32
0.0932,6.5600000000000005,0.72,0.32
0.0936,6.5600000000000005,0.72,0.32
0.094,6.48,0.72,0.32
0.0944,6.48,0.72,0.32
0.0948,6.48,0.72,0.32
0.0952,6.48,0.72,0.32
0.0956,6.48,0.72,0.32
0.096,6.48,0.72,0.32
0.0964,6.48,0.72,0.32
0.0968,6.48,0.72,0.32
0.0972,6.48,0.72,0.32
0.0976,6.48,0.72,0.32
0.098,6.4,0.72,0.32
0.0984,6.4,0.72,0.32
0.0988,6.4,0.72,0.32
0.0992,6.4,0.72,0.32
0.0996,6.4,0.8,0.32
0.1,6.4,0.72,0.32
0.1004,6.4,0.72,0.32
0.1008,6.4,0.72,0.32
0.1012,6.4,0.72,0.32
0.1016,6.4,0.72,0.32
0.102,6.4,0.72,0.32
0.1024,6.4,0.72,0.32
0.1028,6.4,0.72,0.32
0.1032,6.4,0.72,0.32
0.1036,6.4,0.72,0.32
0.104,6.32,0.72,0.32
0.1044,6.32,0.72,0.32
0.1048,6.32,0.72,0.32
0.1052,6.32,0.72,0.32
0.1056,6.32,0.72,0.32
0.106,6.32,0.72,0.32
0.1064,6.32,0.72,0.32
0.1068,6.32,0.72,0.32
0.1072,6.32,0.72,0.32
0.1076,6.32,0.8,0.32
0.10800000000000001,6.24,0.72,0.32
0.1084,6.32,0.72,0.32
0.1088,6.24,0.72,0.32
0.1092,6.24,0.72,0.32
0.1096,6.24,0.72,0.32
0.11,6.24,0.72,0.32
0.1104,6.24,0.72,0.32
0.1108,6.24,0.72,0.32
0.1112,6.24,0.72,0.32
0.1116,6.24,0.72,0.32
0.11199999999999999,6.16,0.8,0.32
0.1124,6.24,0.72,0.32
0.1128,6.16,0.72,0.32
0.1132,6.16,0.72,0.32
0.1136,6.16,0.72,0.32
0.114,6.16,0.72,0.32
0.1144,6.16,0.72,0.32
0.1148,6.16,0.72,0.32
0.1152,6.16,0.72,0.32
0.1156,6.16,0.72,0.32
0.11599999999999999,6.16,0.72,0.32
0.1164,6.16,0.8,0.32
0.1168,6.16,0.72,0.32
0.1172,6.16,0.72,0.32
0.1176,6.16,0.72,0.32
0.118,6.16,0.72,0.32
0.1184,6.16,0.72,0.32
0.1188,6.16,0.72,0.32
0.1192,6.08,0.72,0.32
0.1196,6.08,0.8,0.32
0.12,6.08,0.8,0.32
0.1204,6.08,0.72,0.32
0.1208,6.08,0.8,0.32
0.1212,6.08,0.72,0.32
0.1216,6.08,0.72,0.32
0.122,6.08,0.72,0.32
0.1224,6.08,0.8,0.32
0.1228,6.08,0.72,0.32
0.1232,6.0,0.8,0.32
0.1236,6.08,0.8,0.32
